File,Attraction / experience,Photographer,Hosting/source repository,License,License URL,Source page,Original dimensions,Web-optimized dimensions,Recommended website use,Required attribution text,Notes
01_Tigers_Nest_Paro_Taktsang.jpg,Tiger’s Nest / Paro Taktsang,Vikramjit Kakati,Wikimedia Commons,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:The_Tiger's_Nest_(_Paro_Taktsang_).jpg,5184×3456,2400×1600,Hero / attraction card,Photo: Vikramjit Kakati / Wikimedia Commons — CC BY-SA 3.0,High-resolution real photograph.
02_Rinpung_Dzong.jpg,Rinpung Dzong,Christopher J. Fynn,Wikimedia Commons,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Rinpung_Dzong_Paro_2007-11-11_CJF.JPG,2848×2136,2400×1800,Hero / attraction card,Photo: Christopher J. Fynn / Wikimedia Commons — CC BY-SA 3.0,Real photograph.
03_National_Museum_Ta_Dzong.jpg,National Museum / Ta Dzong,Bernard Gagnon,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:National_Museum_of_Bhutan_01.jpg,5226×3479,2400×1598,Attraction card / editorial,Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 4.0,Commons quality/valued image.
04_Kyichu_Lhakhang.jpg,Kyichu Lhakhang,David Broad,Wikimedia Commons,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"https://commons.wikimedia.org/wiki/File:Kyichu_Lhakhang_temple_in_he_Paro_Valley,_Bhutan_-_panoramio.jpg",4288×2848,2400×1594,Attraction card,Photo: David Broad / Wikimedia Commons — CC BY 3.0,Real photograph; originally from Panoramio archive.
05_Nemi_Zam_Bridge.jpg,Nemi Zam traditional bridge,Bernard Gagnon,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:Nemi_Zam_bridge,_Paro,_Bhutan.jpg",4663×3108,2400×1600,Attraction card / editorial,Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 4.0,Commons quality image.
06_Drukgyel_Dzong.jpg,Drukgyel Dzong,Christopher J. Fynn,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:Drukgyel_Dzong_04-2021.jpg,8256×5504,2400×1600,Hero / attraction card,Photo: Christopher J. Fynn / Wikimedia Commons — CC BY-SA 4.0,"Restored Drukgyel Dzong, photographed 2021."
07_Dungtse_Lhakhang.jpg,Dungtse Lhakhang,Tashidor,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:Dungtse_Lhakhang,_Paro.jpg",2448×3264,1800×2400,Attraction card,Photo: Tashidor / Wikimedia Commons — CC BY-SA 4.0,Photographed January 2026.
08_Paro_Town_and_Valley.jpg,Paro Old Town / town and valley,Bernard Gagnon,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:Paro_town,_Bhutan_01.jpg",5078×3385,2400×1600,Destination card / town guide,Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 4.0,Wide town/valley view; Commons quality image.
09_Paro_Valley.jpg,Paro Valley / village & rice-field experience,Abhijit Kar Gupta,Wikimedia Commons (Flickr-origin),CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://commons.wikimedia.org/wiki/File:The_view_of_Paro_Valley_(37783820352).jpg,7276×4854,2400×1601,Landscape hero / countryside card,Photo: Abhijit Kar Gupta / Wikimedia Commons — CC BY 2.0,High-resolution landscape; originally published on Flickr.
10_Paro_International_Airport.jpg,Paro International Airport viewpoint,Nabin K. Sapkota,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:Paro_International_Airport-2025_02.jpg,4000×1868,2400×1121,Airport / valley viewpoint card,Photo: Nabin K. Sapkota / Wikimedia Commons — CC BY-SA 4.0,Photographed 2025.
11_Traditional_Bhutanese_Farmhouse.jpg,Traditional Bhutanese farmhouse experience,Chuck Moravec,Wikimedia Commons (Flickr-origin),CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://commons.wikimedia.org/wiki/File:Bhutan_Farmhouse_1_(23650136622).jpg,3000×4000,1800×2400,Experience card,Photo: Chuck Moravec / Wikimedia Commons — CC BY 2.0,Representative Bhutanese farmhouse image; source does NOT establish that this specific house is in Paro.
12_Chele_La_Pass.jpg,Chele La Pass,Vinayaraj,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:Chele_La_Pass_-_Paro_-_during_LGFC_-_Bhutan_2019_(11).jpg,4608×3456,2400×1800,Scenic excursion hero / card,Photo: Vinayaraj / Wikimedia Commons — CC BY-SA 4.0,Real high-altitude landscape photo.
13_Tamchog_Tachog_Traditional_Bridge.jpg,Tamchog / Tachog traditional bridge heritage,Doctor 17,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:Bridge_to_Tachog_Temple,_Paro_valley.jpg",4672×3104,2400×1595,Attraction / route stop card,Photo: Doctor 17 / Wikimedia Commons — CC BY-SA 4.0,Real photograph of bridge approach.
14_Haa_Valley_Day_Excursion.jpg,Haa Valley day excursion from Paro,Vinayaraj,Wikimedia Commons,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:Haa_valley,_Ha_-_during_LGFC_-_Bhutan_2019_(171).jpg",4608×3456,2400×1800,Day-trip card / scenic hero,Photo: Vinayaraj / Wikimedia Commons — CC BY-SA 4.0,Haa is outside Paro Dzongkhag; use only under “Day Trips from Paro”.
15_Dzongdrakha_Goenpa.jpg,Dzongdrakha Goenpa,Kinleyg,Wikimedia Commons,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/wiki/File:Dzongdrakha_monastery.jpg,1536×1126,1536×1126,Hidden-gem attraction card,Photo: Kinleyg / Wikimedia Commons — CC BY 4.0,Clean monument view. Verified reusable source; resolution is lower than the rest of the pack (1536×1126).
