No.,Website attraction / experience,Recommended file,Status,Editorial note
1,Tiger’s Nest / Paro Taktsang,01_Tigers_Nest_Paro_Taktsang.jpg,Included,Use as primary Paro hero or attraction image.
2,Rinpung Dzong,02_Rinpung_Dzong.jpg,Included,
3,National Museum / Ta Dzong,03_National_Museum_Ta_Dzong.jpg,Included,
4,Kyichu Lhakhang,04_Kyichu_Lhakhang.jpg,Included,
5,Nemi Zam,05_Nemi_Zam_Bridge.jpg,Included,
6,Drukgyel Dzong,06_Drukgyel_Dzong.jpg,Included,
7,Dungtse Lhakhang,07_Dungtse_Lhakhang.jpg,Included,Photographed 2026.
8,Druk Choeding,,Not bundled,No sufficiently high-resolution commercially reusable photo verified in this research pass.
9,Jangsarbu Lhakhang,,Not bundled,No sufficiently high-resolution commercially reusable photo verified in this research pass.
10,Ugyen Pelri Palace — exterior,,Not bundled,Publicly available images found had unclear or rights-managed reuse terms. Obtain written permission/media-kit image.
11,Paro Old Town / Main Street,08_Paro_Town_and_Valley.jpg,Included,Use town-and-valley image; commission a modern street-level image later if desired.
12,Traditional farmhouse experience,11_Traditional_Bhutanese_Farmhouse.jpg,Included with caution,"Representative Bhutan farmhouse, not verified as a specific Paro property."
13,Traditional hot-stone bath,,Not bundled,"Use a photo supplied/licensed by the farmhouse, hotel or bath operator you actually sell."
14,Paro Valley village & rice-field walk,09_Paro_Valley.jpg,Included,
15,Paro Airport viewpoint,10_Paro_International_Airport.jpg,Included,
16,Zuri Lhakhang,,Not bundled,"A high-quality source was found under CC BY-NC; “NC” prohibits commercial use, so it was deliberately excluded."
17,Dzongdrakha Goenpa,15_Dzongdrakha_Goenpa.jpg,Included,"Verified commercial reuse, but source resolution is 1536×1126."
18,Drakarpo,,Not bundled,Images found did not have sufficiently clear commercial reuse rights.
19,Kila Goenpa,,Not bundled,Images found were rights-managed/copyrighted or lacked a clear commercial-use license.
20,Bumdrak,,Not bundled,Images found did not have sufficiently clear commercial reuse rights.
21,Chumphu Ney,,Not bundled,Official/tour-operator images found did not state a commercial reuse license.
22,Taktsang Zangtopelri,,Not bundled,No sufficiently high-resolution commercially reusable photo verified in this research pass.
23,Taktsang Yoelselgang,,Not bundled,No sufficiently high-resolution commercially reusable photo verified in this research pass.
24,Chele La Pass,12_Chele_La_Pass.jpg,Included,
25,Chele La + Kila Goenpa hike,12_Chele_La_Pass.jpg,Partially covered,Chele La included; Kila-specific image not bundled due to rights.
26,Haa Valley day excursion,14_Haa_Valley_Day_Excursion.jpg,Included,Haa is a separate district; label this as a day excursion from Paro.
27,Tamchog Goenpa / traditional bridge heritage,13_Tamchog_Tachog_Traditional_Bridge.jpg,Included,Bridge/approach image; do not imply it shows the full goenpa interior.
