file,attraction,photographer,source,source_page,license,license_url,original_dimensions,original_megapixels,original_file_size_mb,web_dimensions,web_file_size_mb,modifications,suggested_credit
01_Buddha_Dordenma.jpg,Buddha Dordenma / Kuenselphodrang,Bernard Gagnon,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Buddha_Dordenma_statue,_Thimphu_06.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,3353 x 2235,7.49,8.58,2400 x 1600,1.36,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 4.0
02_Tashichho_Dzong.jpg,Tashichho Dzong,Nina R,Wikimedia Commons (originally Flickr),https://commons.wikimedia.org/wiki/File:Tashichho_Dzong_(49690801713).jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2740 x 1867,5.12,3.96,2400 x 1635,0.81,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Nina R / Wikimedia Commons (originally Flickr) — CC BY 2.0
03_National_Memorial_Chorten.jpg,National Memorial Chorten,Supreet02,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Memorial_Chorten,_Thimphu,_Bhutan.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,4608 x 3456,15.93,7.46,2400 x 1800,0.79,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Supreet02 / Wikimedia Commons — CC BY-SA 4.0
04_Motithang_Takin_Preserve.jpg,Motithang Takin Preserve,Ktatpong,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Takins_at_Motithang_Takin_Preserve,_Bhutan.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,4896 x 3264,15.98,6.73,2400 x 1600,0.94,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Ktatpong / Wikimedia Commons — CC BY-SA 4.0
06_Simtokha_Dzong.jpg,Simtokha Dzong,Bernard Gagnon,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Simtokha_Dzong,_Bhutan_11.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5040 x 3360,16.93,4.18,2400 x 1600,0.83,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 4.0
07_Royal_Textile_Academy.jpg,Royal Textile Academy / National Textile Museum,Christopher J. Fynn,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Royal_Textile_Academy_(Thimphu)a.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,4000 x 2664,10.66,1.72,2400 x 1598,0.74,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Christopher J. Fynn / Wikimedia Commons — CC BY-SA 3.0
08_Jungshi_Handmade_Paper_Factory.jpg,Jungshi Handmade Paper Factory,JanManu,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Paper_at_Jungshi_Paper_Factory,_Thimpu,Bhutan.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,3000 x 2253,6.76,4.05,2400 x 1802,1.34,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: JanManu / Wikimedia Commons — CC BY-SA 4.0
09_Centenary_Farmers_Market.jpg,Centenary Farmers' Market / Kaja Throm area,Bernard Gagnon,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Centenary_Farmers_Market,_Thimphu.jpg",CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5/,5142 x 3423,17.60,6.26,2400 x 1598,0.78,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Bernard Gagnon / Wikimedia Commons — CC BY-SA 2.5
10_Changlimithang_Stadium.jpg,Changlimithang Stadium & Archery Ground,Richard Mortel,Wikimedia Commons (originally Flickr),"https://commons.wikimedia.org/wiki/File:Changlimethang_Stadium,_Thimphu_(44189651852).jpg",CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,6000 x 4000,24.00,12.87,2400 x 1600,0.65,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Richard Mortel / Wikimedia Commons (originally Flickr) — CC BY 2.0
11_Dechen_Phodrang_Monastery.jpg,Dechen Phodrang Monastery,Christopher J. Fynn,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dechen_Phodrang_Monastery.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,7162 x 4669,33.44,2.95,2400 x 1565,0.42,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Christopher J. Fynn / Wikimedia Commons — CC BY-SA 4.0
12_Tango_Monastery.jpg,Tango Monastery,Jean-Marie Hullot,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:TangoMonastery.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1620 x 1080,1.75,0.66,1620 x 1080,0.44,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Jean-Marie Hullot / Wikimedia Commons — CC BY 3.0
13_Authentic_Bhutanese_Craft_Bazaar.jpg,Authentic Bhutanese Craft Bazaar,Prof Ranga Sai,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Thimphu_handicraft_market_-_Bhutan.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,4288 x 2848,12.21,9.12,2400 x 1594,1.00,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Prof Ranga Sai / Wikimedia Commons — CC BY-SA 4.0
14_National_Library_of_Bhutan.jpg,National Library and Archives of Bhutan,Viktor Pinchuk (Виктор Пинчук),Wikimedia Commons,https://commons.wikimedia.org/wiki/File:National_Library_of_Bhutan_(1).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,3840 x 2880,11.06,2.33,2400 x 1800,1.00,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Viktor Pinchuk (Виктор Пинчук) / Wikimedia Commons — CC BY 4.0
15_Dochula_Pass_108_Chortens.jpg,Dochula Pass & 108 Druk Wangyal Chortens,Stephen Shephard,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Some_of_108_chortens,_Dochula_pass.jpg",CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5/,2560 x 1920,4.92,2.34,2400 x 1800,0.87,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Stephen Shephard / Wikimedia Commons — CC BY-SA 2.5
16_Simply_Bhutan_Unsplash.jpg,Simply Bhutan,Rohit Arora,Unsplash,https://unsplash.com/photos/brown-pots-placed-by-the-window-RvfMatP4dcs,Unsplash License,https://unsplash.com/license,2160 x 3840,8.29,1.25,1350 x 2400,0.53,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Rohit Arora / Unsplash — Unsplash License
17_Cheri_Chagri_Monastery.jpg,Cheri / Chagri Monastery,Christopher J. Fynn,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cheri_Monastery_Bhutan-070317.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2848 x 2136,6.08,1.44,2400 x 1800,0.85,"Web copy resized (only if >2400 px long edge) and JPEG-compressed; no crop, no AI generation, no AI upscaling.",Photo: Christopher J. Fynn / Wikimedia Commons — CC BY-SA 3.0
